Nombre del Comercio;Dirección del Local;
ALEX;AV REGIMIENTO PATRICIOS 1717;  
ARRIBAS ANGEL RAUL Y JOSE LUIS;BOLIVAR 970;  
AUTOSERVICIO COCHABAMBA;LUIS SAENZ PEÑA 552; 
BALCARCE CARNICERIA;JOSE MARIA MORENO 521;  
BDP LH TRADING;VICENTE LOPEZ 1828;  
CABAÑA ARGENTINA;AV DIRECTORIO 5702;  
CABAÑA ARGENTINA;AV. DIRECTORIO 5702; 
CABAÑA L Y D SAS;MURGUIONDO 4062;  
CARNES LISANDRO;LISANDRO DE LA TORRE 53;  
CARNES SAN JUAN;AV PATRICIOS 1499
CARNES SAN JUAN;AV SAN JUAN 1301;  
CARNICERIA - GRANJA ¨R Y J¨;MEDRANO 76;  
CARNICERIA ANY;CARLOS CALVO 801;  
CARNICERIA DEL SUR;GASCON 801;  
CARNICERIA ELVIO;AV REGIMIENTO PATRICIOS 520;  
CARNICERIA ELVIS;AV REGIMIENTO PATRICIOS 779;  
CARNICERIA EPI;AV. REGIMIENTO DE PATRICIOS 437;  
CARNICERIA EUGENIO;VIRREY LINIERS 2104;  
CARNICERIA FITO;AV RIVADAVIA 9597;  
CARNICERIA JOSE LUIS;ARTIGAS 3838
CARNICERIA JUANCA;CUENCA 2528;  
CARNICERIA JUANCITO;RIVERA DOCTOR PEDRO IGNACIO 4820;  
CARNICERIA JUANCITO;RIVERA DOCTOR PEDRO IGNACIO 4820;  
CARNICERIA LA AMISTAD;BEAUCHEF 579;  
CARNICERIA LA VICTORIA;VENEZUELA 3900;  
CARNICERIA NACHO;PERIBEBUY 6807;  
CARNICERIA NICOLAS Y GABRIEL;SAENZ 649;  
CARNICERIA RUBEN;AV ALVAREZ JONTE 5202;  
CARNICERIA SAENZ;AV SÁENZ 1177;  
CARNICERIA SAENZ;AV SÁENZ 1177
CARNICERIA Y GRANJA EPI;AV REGIMIENTO PATRICIOS 471; 
DEL SUR;MEDRANO 515;  
DELICIAS DE CARNE;AV LISANDRO DE LA TORRE 217;  
EL ALBA;CUENCA 3274;  
EL CORRENTINO;TACUARI 1294;  
EL NACIONAL CARNES;AV FRANCISCO BEIRO 5315;  
EL PANA;BARTOLOME MITRE 1600;  
ESTANCIA FUNES;CHILE 1354;  
ESTANCIA LAS VIOLETAS;AV RIVADAVIA 9097;  
ESTANCIA LEDESMA;SAN JOSE 123
ESTANCIA LOS CARDOSOS;VENEZUELA 1501;  
FRANCO ESCALERA CESAR EDUARDO;CERVANTES 1798;  
FRIGORIFICO MONTEDINERO;DOCTOR LUIS BELAUSTEGUI 892;  
FRIGORIFICO MONTEDINERO;DOCTOR LUIS BELAUSTEGUI 892;  
IL MEGLIO;AV RIVADAVIA 6358;  
JORGITO;CARLOS CALVO 455;  
