Nombre del Comercio;Dirección del Local;
A TU GUSTO;DEL BARCO CENTENERA 1375 
AJI MARKET;CRISOLOGO LARRALDE 2469 
ALMACEN LA FARINA;MONROE 3810 
ALMACEN SAN ANTONIO;URIARTE 2458 
APPORE HELADOS;NOGOYA 2865 
ARANA CUADROS JESSICA;AGUSTIN MAGALDI 2192
BACSOLUCIONES;LISANDRO DE LA TORRE 608 
BARREL;FALCON 2521 
BATWING SAS;AV. JOSE MARIA MORENO 690 
BELLA VITA;YATAY 747
BIEN PAMPEANO;CORONEL DIAZ 1625
BUENA VIDA;AV. MONROE 5208 
BUENA VIDA;BAUNESS 2210 
CABRALES;ARENALES 1558 
CABRALES;AV. LEANDRO N ALEM 852
CABRALES;CUCHA CUCHA 1370 
CAMBALACHE;AV ENTRE RIOS 1601 
CARNICERIA NICO;PUMACAHUA 597 
CASA AMERICA;AV GENERAL MOSCONI 3480 
CASA BEBE;ARANGUREN 4390 
CASA DE CAMPO;OLAZABAL 5458
CHEN ZHIQING;HEREDIA 1352 
CHESCO ALMACEN;NAHUEL HUAPI 5812 
COCONUT NATURAL MARKET;AV NAZCA 2792 
CONCIENCIA VERDE;MONROE 5239 
DE TANGO Y JOROPO;LADINES 2514 
DEL BUEN VIVIR;GUEMES 3675 
DEL HUERTO;AV. INDEPENDENCIA 2107 
DEL SEÑOR SERGIO MARCELO;MONTES DE OCA 273
DEL VALLE 42;AV. ALMIRANTE BROWN 899 
DELEITES;AV RIVADAVIA 10280 
DESPENSA AURELIO;José Pablo Torcuato Batlle y Ordóñez 6015 
DESPENSA MORENO;MORENO 1445 
DIETETICA DAIKO;AV. PEDRO GOYENA 287 
DIETETICA DEL PARQUE;ASAMBLEA 1128 
DIETETICA NITO;VELAZCO 199 
DISTRIBUIDORA DE AHORRO;OLAVARRIA 459 
DON HOMERONE;BAUNESS 2226 
EBLO GOURMET SA;GUALEGUAYCHU 3886
ECO DESPENSA;MIGUELETES 734 
EDGARD;RONDEAU 2956 
EL BAQUIANO;AV PEDRO GOYENA 1595 
EL BAQUIANO;AV. MEDRANO 72 
EL BAQUIANO;JUAN DOMINGO PERON 3803 
EL BAQUIANO;MALABIA 434 
EL CISNE DE PEDRO GOYENA;AV. PEDRO GOYENA 263 
EL CISNE DE PEDRO GOYENA SRL;PEDRO GOYENA 263 
EL COLECCIONISTA;AV. CASEROS 2868 
EL POLLITO FELIZ;ARAOZ 79
EP LIMPIEZA;NECOCHEA 694 
ESTANCIA LEDESMA;SAN JOSE 123 
FAMILIA AUFIERI;AV JOSE MARIA MORENO 561 
FAN DE PAN;CUZCO 141 
FAN DE PAN;ESCALADA 4300 
FAN DE PAN;LA RIOJA 1937 
FIAMBRERIA CENTENERA;DEL BARCO CENTENERA 209 
FIGUEROA JUAN CARLOS;OLAVARRIA 616 
FREEZE POINT;ARTIGAS 5325 
GIULIANA;BRASIL 1284
GO BAR PALMAS DEL PILAR;PANAMERICANA KM50 
GRANJA YARAVI;CULLEN 5184 
GUADALUPE PANADERIA;AV. SAN JUAN 2914 
GUAYOYO;CIUDAD DE LA PAZ 3419 
HELADERIA SORRENTO;OLAVARRIA 660 
HELADOS DANIEL;ARAOZ 2200 
HOLBOX ALMACEN DE BEBIDAS;AV. JOSE MARIA MORENO 690 
